#---------------,--------------------,--------------------,-------,---------,-----------
#  NAME         ,  RAJ               ,  DECJ              ,  DIST ,  AGE    ,  EDOT
#               ,  (hms)             ,  (dms)             ,  (kpc),  (Yr)   ,  (ergs/s)
#---------------,--------------------,--------------------,-------,---------,-----------
  J0534-6703    , 05:34:36.17        , -67:03:48.8        , 49.700, 6.78e+04, 2.8e+33
  J0535-66      , 05:35:40           , -66:52             , 49.700, *       , *
  J0535-6935    , 05:35:00           , -69:35:00          , 49.700, 2.76e+05, 5.6e+34

  B0538-75      , 05:36:30.82        , -75:43:54.8        , 0.143 , 3.42e+07, 1.2e+31
  J0537-69      , 05:37:43           , -69:21             , 49.700, *       , *
  J0537-6910    , 05:37:47.416       , -69:10:19.88       , 49.700, 4.93e+03, 4.9e+38
  J0538+2817    , 05:38:25.0572      , +28:17:09.161      , 1.300 , 6.18e+05, 4.9e+34
  J0540+3207    , 05:40:37.116       , +32:07:37.3        , 1.421 , 1.85e+07, 1.2e+32

  B0540-69      , 05:40:11.202       , -69:19:54.17       , 49.700, 1.67e+03, 1.5e+38
  J0540-7125    , 05:40:30.8         , -71:25:31.4        , 0.547 , 2.48e+07, 1.5e+31
  J0542-68      , 05:42:35           , -68:16             , 49.700, *       , *
  B0540+23      , 05:43:09.660       , +23:29:05          , 1.565 , 2.53e+05, 4.1e+34
  J0543-6851    , 05:43:52.71        , -68:51:25.3        , 49.700, 2.85e+06, 4.4e+32

  J0544+20      , 05:44:12           , +20:50             , 1.283 , *       , *
  J0545-03      , 05:45              , -03:10             , 2.062 , *       , *
  J0546+2441    , 05:46:28.76        , +24:41:21          , 1.517 , 5.89e+06, 1.3e+31
  J0550+09      , 05:50:28           , +09:51             , 1.804 , *       , *
  J0554+3107    , 05:54:05.01        , +31:07:41          , *     , 5.17e+04, 5.6e+34

  J0555+3948    , 05:55              , +39:48             , 1.065 , *       , *
  J0555-7056    , 05:55:01.85        , -70:56:45.6        , 49.700, 2.2e+06 , 4.1e+32
  J0556-67      , 05:56:25           , -67:29             , 47.489, *       , *
  J0557+1550    , 05:57:31.44918     , +15:50:06.046      , 1.834 , 5.51e+09, 1.7e+34
  J0557-2948    , 05:57:32.9995      , -29:48:16.804      , 4.269 , 9.47e+09, 3.5e+31

  B0559-57      , 06:00:46.5         , -57:56:54          , 0.553 , 1.29e+07, 9.5e+30
  B0559-05      , 06:01:58.9752      , -05:27:50.871      , 2.083 , 4.82e+06, 8.3e+32
  J0605+3757    , 06:05:05.5439      , +37:57:35.96       , 0.215 , 9e+09   , 9.3e+33
  J0608+00      , 06:08:49           , +00:39             , 1.311 , *       , *
  J0608+1635    , 06:08:51.662       , +16:35:09.4        , 1.651 , 1.11e+06, 6.3e+32

  J0609+2130    , 06:09:58.8861      , +21:30:02.84       , 0.574 , 3.76e+09, 5.4e+31
  J0610-2100    , 06:10:13.596735    , -21:00:27.89913    , 3.260 , 4.96e+09, 8.5e+33
  J0611+04      , 06:11:18           , +04:06             , 1.662 , *       , *
  J0611+1436    , 06:11:18.649       , +14:36:52          , 0.807 , 1.07e+06, 8.0e+33
  J0611+30      , 06:11:16           , +30:16             , 1.080 , *       , *

  B0609+37      , 06:12:48.6867      , +37:21:37.36       , 0.535 , 7.94e+07, 8.9e+31
  J0612+37216   , 06:12:44.10        , +37:21:40          , 1.083 , 4.7e+07 , 6.8e+31
  J0613-0200    , 06:13:43.975901    , -02:00:47.23742    , 0.780 , 5.06e+09, 1.3e+34
  J0613+3731    , 06:13:12.150       , +37:31:38.3        , 0.186 , 3.02e+06, 5.4e+32
  B0611+22      , 06:14:17.0058      , +22:29:56.848      , 3.571 , 8.93e+04, 6.2e+34

  J0614-3329    , 06:14:10.3478      , -33:29:54.118      , 0.630 , 2.84e+09, 2.2e+34
  J0614+83      , 06:14              , +83:14             , 3.699 , *       , *
  J0621+0336    , 06:21:11.221       , +03:36:45.52       , 1.701 , 5.91e+08, 1.5e+31
  J0621+1002    , 06:21:22.11436     , +10:02:38.7352     , 0.425 , 9.67e+09, 7.8e+31
  J0621+2514    , 06:21:10.8542      , +25:14:03.83       , 1.641 , 1.74e+09, 4.9e+34

  J0621-55      , 06:20:42           , -56:05             , 0.380 , *       , *
  J0622+3749    , 06:22:10.51        , +37:49:13.6        , *     , 2.08e+05, 2.7e+34
  J0623+0340    , 06:23:46.759       , +03:40:06.8        , 1.375 , 1.1e+08 , 1.5e+31
  B0621-04      , 06:24:20.028       , -04:24:50.45       , 1.938 , 1.98e+07, 2.9e+31
  J0625+10      , 06:25:45           , +10:16             , 1.637 , *       , *

